scorer,metric,mean,ci95_low,ci95_high
bm25,recall@1,0.2133,0.1817,0.2449
bm25,recall@5,0.4566,0.4171,0.4961
bm25,mrr,0.3139,0.2840,0.3454
bm25,ndcg@10,0.3642,0.3331,0.3961
bm25,zero_hit@10,0.4771,0.4392,0.5150
bi_encoder,recall@1,0.4803,0.4423,0.5197
bi_encoder,recall@5,0.8231,0.7930,0.8531
bi_encoder,mrr,0.6303,0.5996,0.6598
bi_encoder,ndcg@10,0.6915,0.6640,0.7178
bi_encoder,zero_hit@10,0.1216,0.0964,0.1469
bi_plus_reranker,recall@1,0.5008,0.4628,0.5403
bi_plus_reranker,recall@5,0.8262,0.7962,0.8547
bi_plus_reranker,mrr,0.6357,0.6047,0.6657
bi_plus_reranker,ndcg@10,0.6965,0.6689,0.7238
bi_plus_reranker,zero_hit@10,0.1153,0.0916,0.1406
bi_encoder,candidate_recall@100,0.9494,0.9321,0.9652
paired:bi_encoder_vs_bm25,recall@1,+0.2670,+0.2274,+0.3065
paired:bi_encoder_vs_bm25,recall@5,+0.3665,+0.3254,+0.4092
paired:bi_encoder_vs_bm25,mrr,+0.3163,+0.2838,+0.3484
paired:bi_encoder_vs_bm25,ndcg@10,+0.3273,+0.2969,+0.3584
paired:bi_plus_reranker_vs_bi_encoder,recall@1,+0.0205,-0.0095,+0.0521
paired:bi_plus_reranker_vs_bi_encoder,recall@5,+0.0032,-0.0190,+0.0253
paired:bi_plus_reranker_vs_bi_encoder,mrr,+0.0054,-0.0146,+0.0252
paired:bi_plus_reranker_vs_bi_encoder,ndcg@10,+0.0050,-0.0119,+0.0227
paired:bi_plus_reranker_vs_bm25,recall@1,+0.2875,+0.2464,+0.3286
paired:bi_plus_reranker_vs_bm25,recall@5,+0.3697,+0.3302,+0.4092
paired:bi_plus_reranker_vs_bm25,mrr,+0.3217,+0.2886,+0.3546
paired:bi_plus_reranker_vs_bm25,ndcg@10,+0.3322,+0.3017,+0.3627
